"param_index","booster","nrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","colsample_bylevel","missing"
1001,"gbtree",1,0.3,1,6,1,1,1,0
1002,"gbtree",772,0.377822597494022,0.804438530816697,7,1.92268148535417,0.492914349213243,0.308476764895022,0
1003,"gblinear",147,0.785903290204746,0.949472708511166,15,5.20986871726664,0.566700168140233,0.259254615753889,0
1004,"gbtree",236,0.210900097731927,0.817737626726739,13,7.02526656354374,0.709598381258547,0.399292637035251,0
1005,"gblinear",659,0.0611713374547906,0.6362791453721,12,2.39062443603652,0.342535577528179,0.448332191444933,0
1006,"gbtree",494,0.51042096281955,0.678933353279717,6,3.92077784370754,0.928516289778054,0.703241704031825,0
1007,"gbtree",171,0.224018243814736,0.526441320078447,10,5.42768433361173,0.269038490206003,0.441469127498567,0
1008,"gblinear",803,0.26335038104572,0.57425709720701,13,3.78066883177339,0.782849891483784,0.67736901268363,0
1009,"gbtree",699,0.0462405817300724,0.550460495753214,15,2.64546354379679,0.772820267640054,0.77483102362603,0
1010,"gbtree",421,0.0502218791736965,0.947396234492771,13,2.33641923250691,0.956590805947781,0.864967179112136,0
1011,"gblinear",156,0.483416447845352,0.545726235141046,14,1.45484353487142,0.750317966938019,0.721367665752769,0
1012,"gbtree",522,0.213054778718689,0.903961893054657,7,2.38751711587473,0.507594665139914,0.530111736990512,0
1013,"gblinear",657,0.090476538734396,0.780766009003855,10,1.54081256779674,0.724639964289963,0.688653777353466,0
1014,"gbtree",646,0.275238216917681,0.755110496305861,7,1.40969006683533,0.773180848546326,0.71143705919385,0
1015,"gblinear",713,0.0395033954491622,0.525610096286982,9,3.38059239115327,0.664231578074396,0.218483840301633,0
1016,"gblinear",190,0.29376355521529,0.590459060505964,11,3.79679073945496,0.408761432208121,0.890318421274424,0
1017,"gblinear",78,0.59399363211486,0.757916790666059,14,5.50165410167278,0.302902916632593,0.708079004660249,0
1018,"gbtree",340,0.964719930441212,0.690303355455399,11,3.39750594467366,0.536119999736548,0.723739350959659,0
1019,"gbtree",601,0.366053854303161,0.640544946538284,15,5.06378551590833,0.413725668378174,0.81167358532548,0
1020,"gbtree",622,0.833887708881416,0.600189133663662,11,6.92720657348313,0.329851906187832,0.466758166439831,0
1021,"gbtree",32,0.505827504720327,0.958310712710954,15,1.8681220844244,0.788320818729699,0.855978647619486,0
1022,"gbtree",148,0.0613217562629686,0.653167290263809,12,6.59807351388766,0.719062340445817,0.881715223751962,0
1023,"gblinear",720,0.228383999632423,0.552128439536318,7,2.99430877358725,0.617655044607818,0.233607531897724,0
